Tamanho da Janela:20
[R, W, R, R, M, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[R, R, M, H, H, H, H] 31/1/2002 - 28/2/2002 7.0710678118654755 BearFlag
[M, M, M, M, H, H, H] 9/6/2003 - 7/7/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 29/7/2005 - 25/8/2005 8.660254037844387 BearFlag
[R, R, M, M, R, H, C] 26/2/2009 - 25/3/2009 7.0710678118654755 DoubleBottom
[R, R, M, H, H, H, M] 26/3/2009 - 23/4/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 18/8/2009 - 15/9/2009 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 18/2/2011 - 18/3/2011 8.660254037844387 Cup
[R, M, H, M, M, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 19/11/2012 - 17/12/2012 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 23/7/2014 - 19/8/2014 7.0710678118654755 BearFlag
