Tamanho da Janela:20
[R, R, R, C, C, C, R] 1/3/2000 - 28/3/2000 7.0710678118654755 Cup
[R, M, H, C, H, C, H] 27/4/2000 - 24/5/2000 7.0710678118654755 BearFlag
[R, R, M, H, H, H, R] 21/8/2000 - 18/9/2000 7.0710678118654755 Cup
[R, M, H, H, M, M, H] 13/3/2001 - 9/4/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 31/8/2001 - 4/10/2001 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 2/11/2001 - 30/11/2001 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 Cup
[M, M, M, H, M, H, H] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 13/10/2004 - 9/11/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 4/1/2007 - 1/2/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
