Tamanho da Janela:40
[R, M, H, C, C, H, R] 21/8/2000 - 16/10/2000 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 3/8/2001 - 4/10/2001 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 9/5/2003 - 7/7/2003 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 29/10/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 13/10/2004 - 8/12/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 29/7/2005 - 23/9/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/3/2010 - 5/5/2010 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 28/4/2014 - 23/6/2014 8.660254037844387 BearFlag
