Tamanho da Janela:20
[R, R, H, M, R, C, C] 1/3/2000 - 28/3/2000 7.0710678118654755 DoubleBottom
[R, R, M, H, H, M, R] 3/8/2001 - 30/8/2001 8.660254037844387 Cup
[R, R, M, H, H, H, M] 21/8/2002 - 18/9/2002 8.660254037844387 Cup
[M, R, R, R, M, H, H] 9/6/2003 - 7/7/2003 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 25/2/2004 - 23/3/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 24/3/2004 - 21/4/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 20/7/2004 - 16/8/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 7/1/2005 - 4/2/2005 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 30/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 13/7/2006 - 9/8/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 30/3/2007 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 4/1/2012 - 1/2/2012 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 27/5/2014 - 23/6/2014 7.0710678118654755 BearFlag
