Tamanho da Janela:20
[R, W, R, H, C, H, R] 23/6/2000 - 21/7/2000 8.660254037844387 Cup
[W, W, H, M, R, H, H] 31/8/2001 - 4/10/2001 7.0710678118654755 DoubleBottom
[W, R, H, C, C, H, R] 24/7/2002 - 20/8/2002 7.0710678118654755 Cup
[M, R, R, R, M, H, H] 26/9/2005 - 21/10/2005 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 10/8/2006 - 7/9/2006 8.660254037844387 Cup
[R, M, H, M, M, M, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 16/9/2009 - 13/10/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 11/11/2009 - 9/12/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/1/2012 - 1/2/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/3/2012 - 29/3/2012 8.660254037844387 BearFlag
