Tamanho da Janela:20
[R, R, M, H, H, H, M] 1/8/2002 - 28/8/2002 8.660254037844387 Cup
[R, H, H, H, M, M, H] 17/6/2003 - 15/7/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 6/11/2003 - 4/12/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 6/1/2004 - 3/2/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 29/6/2004 - 27/7/2004 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 28/2/2006 - 27/3/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/3/2006 - 25/4/2006 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 18/8/2006 - 15/9/2006 7.0710678118654755 BearFlag
[R, R, M, H, H, H, R] 25/2/2008 - 24/3/2008 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 25/3/2008 - 21/4/2008 8.660254037844387 BearFlag
[W, R, H, H, R, M, H] 7/11/2008 - 5/12/2008 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, H] 8/12/2008 - 6/1/2009 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 7/1/2009 - 4/2/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 24/9/2009 - 21/10/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 22/10/2009 - 18/11/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 18/2/2010 - 17/3/2010 7.0710678118654755 BearFlag
[R, M, H, M, M, H, H] 13/7/2010 - 9/8/2010 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 10/8/2010 - 7/9/2010 8.660254037844387 Cup
[R, M, H, H, M, M, M] 14/11/2011 - 12/12/2011 8.660254037844387 BearFlag
