Tamanho da Janela:20
[R, R, H, C, H, M, R] 3/1/2000 - 31/1/2000 8.660254037844387 Cup
[R, M, H, H, H, H, M] 24/7/2000 - 18/8/2000 5.0 BearFlag
[M, R, R, R, R, M, H] 9/5/2001 - 6/6/2001 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 3/8/2001 - 30/8/2001 8.660254037844387 Cup
[R, R, M, M, R, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 17/10/2002 - 13/11/2002 8.660254037844387 Cup
[M, R, R, R, R, M, H] 9/5/2003 - 6/6/2003 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 5/8/2003 - 2/9/2003 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 8/3/2005 - 5/4/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/3/2006 - 17/4/2006 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 3/11/2006 - 1/12/2006 7.0710678118654755 BearFlag
[R, M, H, H, M, M, H] 26/7/2007 - 22/8/2007 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 14/3/2008 - 11/4/2008 8.660254037844387 Cup
[R, R, M, C, C, C, M] 28/11/2008 - 26/12/2008 7.0710678118654755 Cup
[R, R, M, H, H, C, H] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[M, M, H, M, M, H, H] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/12/2010 - 20/1/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/3/2012 - 29/3/2012 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/4/2014 - 23/5/2014 8.660254037844387 BearFlag
