Tamanho da Janela:20
[R, M, M, H, H, H, R] 1/3/2000 - 28/3/2000 8.660254037844387 Cup
[M, H, H, H, M, H, H] 29/3/2000 - 26/4/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/7/2000 - 18/8/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 30/3/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 16/1/2008 - 13/2/2008 8.660254037844387 Cup
[W, R, H, M, R, M, H] 2/10/2008 - 29/10/2008 7.0710678118654755 DoubleBottom
[R, R, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[R, R, M, H, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[R, M, M, H, H, M, M] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 11/11/2009 - 9/12/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
