Tamanho da Janela:40
[R, M, H, M, R, H, H] 1/3/2000 - 26/4/2000 8.660254037844387 DoubleBottom
[M, R, R, H, C, H, R] 27/4/2000 - 22/6/2000 8.660254037844387 Cup
[R, R, M, C, C, M, W] 3/12/2001 - 30/1/2002 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 20/3/2006 - 15/5/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 8/9/2006 - 2/11/2006 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 23/8/2007 - 18/10/2007 7.0710678118654755 BearFlag
[M, R, R, R, R, M, H] 14/2/2008 - 11/4/2008 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 11/11/2009 - 8/1/2010 8.660254037844387 Cup
[R, R, H, M, M, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/1/2013 - 15/3/2013 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 14/5/2013 - 10/7/2013 8.660254037844387 BullFlag
