Tamanho da Janela:20
[R, H, H, H, M, H, H] 1/3/2000 - 28/3/2000 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 27/4/2000 - 24/5/2000 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 23/6/2000 - 21/7/2000 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 14/11/2000 - 12/12/2000 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 3/12/2001 - 31/12/2001 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[R, H, C, H, M, H, H] 28/11/2008 - 26/12/2008 8.660254037844387 BearFlag
[R, M, H, C, H, H, R] 26/3/2009 - 23/4/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, M, H, M, M, M, H] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
