Tamanho da Janela:40
[R, R, M, C, C, C, M] 31/1/2002 - 28/3/2002 7.0710678118654755 Cup
[M, M, H, H, H, H, M] 8/7/2003 - 2/9/2003 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 6/4/2005 - 1/6/2005 8.660254037844387 Cup
[R, R, M, H, H, H, M] 20/1/2006 - 17/3/2006 8.660254037844387 Cup
[R, H, H, H, M, M, H] 11/11/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 18/2/2011 - 15/4/2011 8.660254037844387 Cup
[R, M, H, H, M, M, H] 30/3/2012 - 25/5/2012 7.0710678118654755 BearFlag
[M, R, R, H, C, H, R] 29/5/2012 - 24/7/2012 8.660254037844387 Cup
[M, R, R, R, M, H, H] 19/11/2012 - 16/1/2013 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 14/5/2013 - 10/7/2013 8.660254037844387 BullFlag
[R, M, H, M, M, H, H] 31/12/2013 - 27/2/2014 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 20/8/2014 - 15/10/2014 8.660254037844387 Cup
