Tamanho da Janela:40
[R, R, M, H, H, H, M] 31/1/2002 - 28/3/2002 8.660254037844387 Cup
[M, H, H, H, M, H, H] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 2/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 30/4/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[R, R, H, C, H, H, M] 14/2/2008 - 11/4/2008 8.660254037844387 Cup
[R, R, M, H, H, H, R] 10/6/2008 - 5/8/2008 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 21/7/2009 - 15/9/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 16/9/2009 - 10/11/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 11/11/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, R, H, H, M, M, H] 11/1/2010 - 9/3/2010 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
