Tamanho da Janela:40
[M, R, R, C, C, C, R] 21/8/2000 - 16/10/2000 8.660254037844387 Cup
[R, M, C, C, H, H, M] 17/10/2000 - 12/12/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/10/2001 - 30/11/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 3/9/2003 - 28/10/2003 8.660254037844387 Cup
[M, M, H, H, M, H, H] 29/10/2003 - 24/12/2003 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 2/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 1/5/2007 - 26/6/2007 7.0710678118654755 BearFlag
[R, R, H, C, H, M, R] 19/10/2007 - 14/12/2007 8.660254037844387 Cup
[M, M, M, H, H, H, M] 18/2/2011 - 15/4/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/9/2012 - 16/11/2012 8.660254037844387 BearFlag
