Tamanho da Janela:20
[M, R, R, R, M, H, H] 13/3/2001 - 9/4/2001 8.660254037844387 BullFlag
[R, M, C, C, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, R, R, H, C, H, R] 18/4/2006 - 15/5/2006 8.660254037844387 Cup
[R, M, H, H, M, H, H] 26/2/2009 - 25/3/2009 5.0 BearFlag
[R, R, M, H, H, M, R] 11/1/2010 - 8/2/2010 8.660254037844387 Cup
[R, M, M, H, H, M, M] 22/12/2010 - 20/1/2011 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 5/12/2011 - 3/1/2012 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[R, R, R, H, C, H, R] 22/8/2012 - 19/9/2012 7.0710678118654755 Cup
[R, R, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 Cup
[M, M, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
