Tamanho da Janela:40
[M, R, R, R, M, H, H] 31/1/2002 - 28/3/2002 8.660254037844387 BullFlag
[M, R, R, H, C, H, R] 19/9/2002 - 13/11/2002 8.660254037844387 Cup
[R, M, H, M, M, H, H] 8/7/2003 - 2/9/2003 7.0710678118654755 BearFlag
[R, R, M, H, M, H, H] 3/9/2003 - 28/10/2003 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 22/4/2004 - 18/6/2004 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 29/7/2005 - 23/9/2005 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 Cup
[R, R, H, R, R, M, C] 28/1/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[M, M, H, M, M, H, H] 11/11/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 11/1/2010 - 9/3/2010 8.660254037844387 Cup
[M, M, M, H, H, H, M] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 18/2/2011 - 15/4/2011 7.0710678118654755 BearFlag
[R, M, H, H, M, H, M] 2/2/2012 - 29/3/2012 7.0710678118654755 BearFlag
