Tamanho da Janela:20
[M, H, H, H, M, H, H] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 9/5/2001 - 6/6/2001 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 31/8/2001 - 4/10/2001 7.0710678118654755 BearFlag
[M, M, H, H, M, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 10/4/2003 - 8/5/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 29/10/2003 - 25/11/2003 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/12/2007 - 15/1/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/9/2014 - 15/10/2014 8.660254037844387 BearFlag
