Tamanho da Janela:40
[M, H, H, H, M, H, H] 21/8/2000 - 16/10/2000 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 13/12/2000 - 9/2/2001 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 10/4/2001 - 6/6/2001 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 14/1/2003 - 12/3/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 20/1/2006 - 17/3/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/7/2006 - 7/9/2006 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 14/4/2008 - 9/6/2008 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 28/1/2009 - 25/3/2009 8.660254037844387 BullFlag
[R, M, H, C, H, H, R] 26/3/2009 - 21/5/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 30/8/2010 - 25/10/2010 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 29/5/2012 - 24/7/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 25/7/2012 - 19/9/2012 8.660254037844387 BearFlag
