Tamanho da Janela:20
[W, M, C, H, R, H, C] 1/2/2000 - 29/2/2000 8.660254037844387 DoubleBottom
[M, M, H, M, M, H, H] 29/10/2003 - 25/11/2003 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, M, M, C, C, C, R] 27/1/2004 - 24/2/2004 7.0710678118654755 Cup
[R, M, H, H, M, M, M] 10/11/2004 - 8/12/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, M, M, C, C, H, M] 21/9/2007 - 18/10/2007 8.660254037844387 Cup
[R, R, M, R, R, M, H] 14/2/2008 - 13/3/2008 8.660254037844387 BullFlag
[R, M, H, H, M, H, H] 10/6/2008 - 8/7/2008 5.0 BearFlag
[R, M, H, C, H, H, M] 28/11/2008 - 26/12/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, H, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[R, R, R, R, M, M, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 7/10/2011 - 3/11/2011 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 17/1/2013 - 14/2/2013 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 Cup
[R, M, M, H, H, H, M] 13/11/2014 - 11/12/2014 7.0710678118654755 BearFlag
