Tamanho da Janela:20
[R, M, H, H, M, M, M] 27/4/2000 - 24/5/2000 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 14/11/2000 - 12/12/2000 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 12/2/2001 - 12/3/2001 8.660254037844387 Cup
[R, M, H, H, M, M, M] 7/6/2001 - 5/7/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[R, M, H, C, C, H, W] 26/3/2009 - 23/4/2009 8.660254037844387 Cup
[M, R, R, H, C, H, R] 22/6/2009 - 20/7/2009 8.660254037844387 Cup
[R, R, H, M, M, H, H] 10/12/2009 - 8/1/2010 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[R, R, H, H, M, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 25/7/2012 - 21/8/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 20/9/2012 - 17/10/2012 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/11/2013 - 29/11/2013 8.660254037844387 BearFlag
