Tamanho da Janela:20
[M, H, H, H, M, H, H] 24/7/2000 - 18/8/2000 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 12/2/2001 - 12/3/2001 7.0710678118654755 Cup
[R, R, M, H, H, M, R] 3/8/2001 - 30/8/2001 8.660254037844387 Cup
[R, M, H, H, H, H, M] 31/1/2002 - 28/2/2002 5.0 BearFlag
[R, M, H, H, M, M, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 19/9/2002 - 16/10/2002 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 Cup
[M, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 20/12/2005 - 19/1/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, C, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 14/3/2008 - 11/4/2008 8.660254037844387 Cup
[R, R, M, C, C, C, M] 26/2/2009 - 25/3/2009 7.0710678118654755 Cup
[M, R, R, R, R, M, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 10/3/2010 - 7/4/2010 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 30/4/2012 - 25/5/2012 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
