Tamanho da Janela:40
[R, M, H, R, R, H, C] 23/6/2000 - 18/8/2000 8.660254037844387 DoubleBottom
[W, R, H, M, R, M, H] 17/10/2000 - 12/12/2000 7.0710678118654755 DoubleBottom
[M, R, R, R, M, H, H] 22/4/2004 - 18/6/2004 8.660254037844387 BullFlag
[R, M, H, M, M, M, H] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 8/9/2006 - 2/11/2006 7.0710678118654755 BearFlag
[R, M, H, C, C, H, R] 28/11/2008 - 27/1/2009 7.0710678118654755 Cup
[R, R, H, R, W, H, C] 28/1/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[R, R, H, C, C, C, M] 26/3/2009 - 21/5/2009 8.660254037844387 Cup
[M, R, R, R, M, H, C] 11/11/2009 - 8/1/2010 7.0710678118654755 BullFlag
[R, M, H, H, M, M, H] 11/1/2010 - 9/3/2010 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 14/5/2013 - 10/7/2013 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 1/11/2013 - 30/12/2013 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 31/12/2013 - 27/2/2014 8.660254037844387 BearFlag
