Tamanho da Janela:20
[M, H, H, H, M, H, H] 7/9/2004 - 4/10/2004 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 14/10/2005 - 10/11/2005 7.0710678118654755 BearFlag
[R, R, H, M, R, H, H] 23/2/2007 - 22/3/2007 7.0710678118654755 DoubleBottom
[R, R, M, H, H, H, M] 23/3/2007 - 20/4/2007 8.660254037844387 Cup
[R, H, H, H, M, M, H] 4/4/2008 - 1/5/2008 8.660254037844387 BearFlag
[W, W, M, C, C, H, R] 18/2/2009 - 17/3/2009 7.0710678118654755 Cup
[M, M, H, H, H, H, M] 2/12/2009 - 30/12/2009 7.0710678118654755 BearFlag
[R, M, H, H, M, H, H] 24/6/2010 - 22/7/2010 5.0 BearFlag
[M, M, M, H, H, H, M] 20/8/2010 - 17/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/10/2010 - 12/11/2010 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 29/9/2011 - 26/10/2011 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 23/12/2011 - 24/1/2012 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 17/7/2012 - 13/8/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 9/11/2012 - 7/12/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/4/2014 - 15/5/2014 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 8/10/2014 - 4/11/2014 8.660254037844387 BearFlag
