Tamanho da Janela:20
[R, R, R, H, H, H, R] 1/3/2000 - 28/3/2000 8.660254037844387 Cup
[M, H, H, H, H, H, M] 5/10/2001 - 1/11/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/5/2002 - 24/6/2002 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 21/8/2002 - 18/9/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 13/10/2004 - 9/11/2004 7.0710678118654755 BearFlag
[M, M, M, H, M, H, H] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/6/2009 - 20/7/2009 8.660254037844387 BearFlag
[R, R, M, C, C, C, M] 9/2/2010 - 9/3/2010 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
