Tamanho da Janela:20
[R, R, R, R, M, M, H] 7/6/2001 - 5/7/2001 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 12/2/2003 - 12/3/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/9/2004 - 12/10/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 16/5/2006 - 13/6/2006 7.0710678118654755 Cup
[M, H, H, H, H, H, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, H] 17/12/2007 - 15/1/2008 7.0710678118654755 BearFlag
[R, R, H, C, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 14/5/2013 - 11/6/2013 8.660254037844387 BullFlag
[R, M, H, M, M, M, H] 8/8/2013 - 5/9/2013 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 1/11/2013 - 29/11/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 27/5/2014 - 23/6/2014 8.660254037844387 BearFlag
