Tamanho da Janela:20
[R, R, M, C, C, C, M] 3/1/2000 - 31/1/2000 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 25/5/2000 - 22/6/2000 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 12/1/2001 - 9/2/2001 8.660254037844387 DoubleBottom
[R, R, H, C, H, M, R] 12/2/2001 - 12/3/2001 8.660254037844387 Cup
[R, R, M, H, H, H, M] 10/4/2001 - 8/5/2001 8.660254037844387 Cup
[R, R, M, H, H, M, R] 3/8/2001 - 30/8/2001 8.660254037844387 Cup
[M, R, R, R, M, C, C] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[R, M, H, M, R, H, H] 31/1/2002 - 28/2/2002 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, H] 1/4/2002 - 26/4/2002 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 10/4/2003 - 8/5/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 4/5/2005 - 1/6/2005 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 13/7/2006 - 9/8/2006 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 16/1/2008 - 13/2/2008 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 6/5/2010 - 3/6/2010 8.660254037844387 BullFlag
[M, M, H, H, M, H, H] 23/11/2010 - 21/12/2010 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 22/12/2010 - 20/1/2011 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 4/1/2012 - 1/2/2012 8.660254037844387 Cup
[R, R, R, W, R, H, H] 30/4/2012 - 25/5/2012 7.0710678118654755 BullFlag
[M, M, M, M, H, H, H] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 1/11/2013 - 29/11/2013 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 28/3/2014 - 25/4/2014 8.660254037844387 BearFlag
