Tamanho da Janela:20
[M, H, H, H, M, H, H] 23/6/2000 - 21/7/2000 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 17/10/2000 - 13/11/2000 8.660254037844387 Cup
[R, M, M, H, H, H, M] 10/4/2001 - 8/5/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 6/7/2001 - 2/8/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 14/1/2003 - 11/2/2003 8.660254037844387 Cup
[R, R, M, H, H, H, M] 6/4/2005 - 3/5/2005 8.660254037844387 Cup
[R, R, M, H, H, M, R] 13/7/2006 - 9/8/2006 8.660254037844387 Cup
[M, R, R, R, M, H, H] 4/12/2006 - 3/1/2007 8.660254037844387 BullFlag
[M, M, H, M, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 16/1/2008 - 13/2/2008 7.0710678118654755 BearFlag
[R, M, H, M, R, H, C] 2/10/2008 - 29/10/2008 7.0710678118654755 DoubleBottom
[R, M, H, H, M, M, H] 28/11/2008 - 26/12/2008 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 28/3/2014 - 25/4/2014 8.660254037844387 BearFlag
