Tamanho da Janela:40
[R, R, M, R, R, M, H] 21/8/2000 - 16/10/2000 8.660254037844387 BullFlag
[R, M, H, C, H, H, R] 17/10/2000 - 12/12/2000 8.660254037844387 Cup
[M, R, R, R, M, H, H] 7/6/2001 - 2/8/2001 8.660254037844387 BullFlag
[M, R, R, R, R, M, H] 3/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 31/1/2002 - 28/3/2002 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 14/1/2003 - 12/3/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 2/6/2005 - 28/7/2005 7.0710678118654755 BearFlag
[R, M, H, C, H, H, R] 16/5/2006 - 12/7/2006 8.660254037844387 Cup
[R, R, M, H, H, M, R] 13/7/2006 - 7/9/2006 8.660254037844387 Cup
[R, R, M, H, H, H, M] 19/10/2007 - 14/12/2007 8.660254037844387 Cup
[M, M, M, H, H, H, M] 21/7/2009 - 15/9/2009 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 24/7/2012 8.660254037844387 Cup
[M, R, R, R, R, M, H] 17/1/2013 - 15/3/2013 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 28/2/2014 - 25/4/2014 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 28/4/2014 - 23/6/2014 7.0710678118654755 BearFlag
