Tamanho da Janela:20
[M, H, H, H, H, H, M] 3/4/2003 - 1/5/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/3/2004 - 14/4/2004 8.660254037844387 BearFlag
[R, R, H, M, M, H, H] 13/7/2004 - 9/8/2004 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 8/9/2004 - 5/10/2004 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 31/12/2004 - 28/1/2005 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 31/1/2005 - 28/2/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 25/5/2005 - 22/6/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 13/3/2006 - 7/4/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 7/6/2006 - 5/7/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 27/10/2006 - 24/11/2006 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 17/4/2009 - 14/5/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 31/3/2010 - 28/4/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/11/2010 - 14/12/2010 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 25/10/2013 - 21/11/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 22/11/2013 - 20/12/2013 8.660254037844387 Cup
