Tamanho da Janela:20
[R, R, M, R, R, M, H] 18/4/2008 - 15/5/2008 8.660254037844387 BullFlag
[W, R, M, C, C, C, R] 8/10/2008 - 4/11/2008 7.0710678118654755 Cup
[M, R, R, R, M, H, H] 30/4/2009 - 28/5/2009 8.660254037844387 BullFlag
[R, M, H, H, M, H, H] 24/8/2009 - 21/9/2009 5.0 BearFlag
[R, R, M, H, H, H, M] 20/10/2009 - 16/11/2009 8.660254037844387 Cup
[R, M, M, M, M, H, H] 17/11/2009 - 15/12/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/3/2010 - 13/4/2010 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 6/8/2010 - 2/9/2010 8.660254037844387 BearFlag
[M, M, M, C, C, H, R] 27/1/2011 - 24/2/2011 7.0710678118654755 Cup
[R, M, H, H, M, M, M] 17/8/2011 - 14/9/2011 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 9/12/2011 - 9/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, C, H] 10/10/2013 - 6/11/2013 8.660254037844387 BearFlag
