Tamanho da Janela:20
[R, R, M, C, C, H, M] 19/9/2000 - 16/10/2000 5.0 Cup
[R, R, R, R, M, H, H] 17/10/2000 - 13/11/2000 7.0710678118654755 BullFlag
[M, R, R, W, R, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 27/1/2004 - 24/2/2004 7.0710678118654755 Cup
[R, H, H, H, M, M, H] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 6/4/2005 - 3/5/2005 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, R] 13/7/2006 - 9/8/2006 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 6/8/2008 - 3/9/2008 8.660254037844387 Cup
[R, M, H, C, H, H, M] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 16/9/2009 - 13/10/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 6/5/2010 - 3/6/2010 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[M, R, R, W, R, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, R, H, M, R, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 DoubleBottom
[R, R, H, H, H, M, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[R, R, M, M, R, H, H] 15/2/2013 - 15/3/2013 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 11/7/2013 - 7/8/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
