Tamanho da Janela:40
[R, R, M, H, H, H, M] 7/6/2001 - 2/8/2001 8.660254037844387 Cup
[R, R, M, C, C, C, M] 31/1/2002 - 28/3/2002 7.0710678118654755 Cup
[R, R, H, M, R, M, H] 29/10/2003 - 24/12/2003 8.660254037844387 DoubleBottom
[R, R, H, M, M, H, H] 26/9/2005 - 18/11/2005 8.660254037844387 DoubleBottom
[M, R, R, C, C, C, R] 17/12/2007 - 13/2/2008 8.660254037844387 Cup
[M, R, R, H, C, H, R] 14/2/2008 - 11/4/2008 8.660254037844387 Cup
[W, M, C, H, R, H, C] 10/6/2008 - 5/8/2008 8.660254037844387 DoubleBottom
[M, R, R, R, M, H, H] 11/1/2010 - 9/3/2010 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 18/2/2011 - 15/4/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/11/2012 - 16/1/2013 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 17/1/2013 - 15/3/2013 8.660254037844387 BullFlag
[M, R, R, R, R, M, H] 31/12/2013 - 27/2/2014 8.660254037844387 BullFlag
