Tamanho da Janela:40
[R, R, M, R, R, M, H] 23/6/2000 - 18/8/2000 8.660254037844387 BullFlag
[R, M, M, C, C, C, M] 31/1/2002 - 28/3/2002 8.660254037844387 Cup
[M, M, M, H, H, H, M] 29/10/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 17/8/2004 - 12/10/2004 8.660254037844387 BearFlag
[R, W, R, R, M, H, H] 6/4/2005 - 1/6/2005 8.660254037844387 BullFlag
[R, H, H, H, M, H, H] 23/8/2007 - 18/10/2007 7.0710678118654755 BearFlag
[W, M, C, M, W, H, C] 2/10/2008 - 26/11/2008 8.660254037844387 DoubleBottom
[W, R, C, M, R, M, C] 28/11/2008 - 27/1/2009 7.0710678118654755 DoubleBottom
[R, M, H, C, C, H, R] 26/3/2009 - 21/5/2009 7.0710678118654755 Cup
[R, M, H, C, H, H, M] 16/9/2009 - 10/11/2009 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 29/5/2012 - 24/7/2012 7.0710678118654755 BearFlag
[R, R, M, H, H, H, H] 1/11/2013 - 30/12/2013 7.0710678118654755 BearFlag
[R, M, H, M, R, H, H] 28/2/2014 - 25/4/2014 8.660254037844387 DoubleBottom
