Tamanho da Janela:20
[R, R, H, M, R, C, C] 6/10/2000 - 2/11/2000 7.0710678118654755 DoubleBottom
[R, M, C, C, H, C, H] 3/1/2001 - 31/1/2001 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 2/3/2001 - 29/3/2001 8.660254037844387 BearFlag
[M, R, R, H, C, H, R] 26/6/2001 - 24/7/2001 8.660254037844387 Cup
[R, M, H, H, M, M, H] 20/3/2002 - 17/4/2002 7.0710678118654755 BearFlag
[R, R, R, H, H, H, R] 16/5/2002 - 13/6/2002 8.660254037844387 Cup
[R, M, H, M, M, H, H] 3/2/2003 - 3/3/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/4/2003 - 29/4/2003 8.660254037844387 BearFlag
[R, M, H, H, M, H, H] 22/9/2003 - 17/10/2003 5.0 BearFlag
[R, M, H, H, M, H, M] 11/5/2004 - 8/6/2004 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 6/8/2004 - 2/9/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 4/10/2004 - 29/10/2004 8.660254037844387 Cup
[R, M, H, H, M, M, M] 21/6/2005 - 19/7/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 10/1/2006 - 7/2/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 25/10/2006 - 21/11/2006 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 24/1/2007 - 21/2/2007 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 3/4/2008 - 30/4/2008 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 16/1/2009 - 13/2/2009 8.660254037844387 Cup
[M, H, H, H, M, H, H] 15/10/2010 - 11/11/2010 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 6/6/2011 - 1/7/2011 8.660254037844387 BearFlag
[R, R, H, R, R, M, C] 2/8/2011 - 29/8/2011 8.660254037844387 DoubleBottom
[R, M, H, H, M, M, M] 28/9/2011 - 25/10/2011 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 13/8/2012 - 10/9/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/4/2013 - 2/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/12/2014 - 31/12/2014 8.660254037844387 BearFlag
