Tamanho da Janela:20
[R, R, M, H, H, H, M] 17/9/2001 - 12/10/2001 8.660254037844387 Cup
[M, H, H, H, M, H, H] 12/11/2001 - 10/12/2001 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 21/3/2003 - 17/4/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/4/2003 - 16/5/2003 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 18/1/2005 - 14/2/2005 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 29/12/2005 - 27/1/2006 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 28/3/2006 - 25/4/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/9/2006 - 13/10/2006 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 3/4/2009 - 1/5/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/8/2009 - 23/9/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/6/2013 - 18/7/2013 8.660254037844387 BearFlag
