Tamanho da Janela:20
[M, M, M, H, H, H, M] 27/4/2000 - 24/5/2000 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 19/9/2000 - 16/10/2000 8.660254037844387 Cup
[M, M, M, H, M, H, H] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 13/7/2006 - 9/8/2006 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 4/1/2007 - 1/2/2007 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 1/5/2007 - 29/5/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 4/9/2008 - 1/10/2008 8.660254037844387 Cup
[R, M, H, R, R, H, C] 30/10/2008 - 26/11/2008 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, M, H, H, H, H, M] 16/9/2009 - 13/10/2009 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
