Tamanho da Janela:20
[R, H, H, H, M, H, H] 27/4/2000 - 24/5/2000 7.0710678118654755 BearFlag
[R, R, M, H, H, H, R] 17/10/2000 - 13/11/2000 7.0710678118654755 Cup
[M, H, H, H, M, H, H] 9/5/2001 - 6/6/2001 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 31/8/2001 - 4/10/2001 8.660254037844387 DoubleBottom
[R, M, H, H, M, H, M] 8/7/2003 - 4/8/2003 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 22/4/2004 - 19/5/2004 8.660254037844387 Cup
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 16/1/2008 - 13/2/2008 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 28/11/2008 - 26/12/2008 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[R, M, M, C, H, H, R] 18/10/2012 - 16/11/2012 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 11/7/2013 - 7/8/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/4/2014 - 23/5/2014 8.660254037844387 BearFlag
