Tamanho da Janela:20
[R, M, M, H, H, H, R] 1/3/2000 - 28/3/2000 8.660254037844387 Cup
[R, M, H, C, H, H, M] 13/12/2000 - 11/1/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 13/3/2001 - 9/4/2001 8.660254037844387 Cup
[R, R, M, H, H, H, M] 7/6/2001 - 5/7/2001 8.660254037844387 Cup
[M, M, M, H, H, H, M] 17/2/2006 - 17/3/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/3/2006 - 17/4/2006 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[R, H, H, C, H, H, M] 16/1/2008 - 13/2/2008 8.660254037844387 BearFlag
[R, R, R, R, M, H, H] 10/6/2008 - 8/7/2008 7.0710678118654755 BullFlag
[R, R, M, H, H, M, R] 6/8/2008 - 3/9/2008 8.660254037844387 Cup
[R, M, H, C, H, H, R] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, M, H, M, H, H] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
