Tamanho da Janela:40
[R, M, H, H, R, H, C] 27/4/2000 - 22/6/2000 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 23/6/2000 - 18/8/2000 8.660254037844387 Cup
[R, R, H, C, C, H, M] 21/8/2000 - 16/10/2000 7.0710678118654755 Cup
[M, H, H, H, H, H, M] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 19/9/2002 - 13/11/2002 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 17/8/2004 - 12/10/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 6/4/2005 - 1/6/2005 8.660254037844387 Cup
[M, M, M, H, H, H, M] 13/7/2006 - 7/9/2006 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 17/12/2007 - 13/2/2008 8.660254037844387 BullFlag
[R, W, W, W, R, H, C] 2/10/2008 - 26/11/2008 8.660254037844387 BullFlag
[R, R, H, R, R, H, C] 28/1/2009 - 25/3/2009 7.0710678118654755 DoubleBottom
[R, M, H, C, H, H, M] 26/3/2009 - 21/5/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 29/5/2012 - 24/7/2012 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 31/12/2013 - 27/2/2014 8.660254037844387 Cup
[M, M, M, H, H, H, M] 28/2/2014 - 25/4/2014 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/6/2014 - 19/8/2014 8.660254037844387 BearFlag
