Tamanho da Janela:20
[W, R, H, C, C, H, R] 23/6/2000 - 21/7/2000 7.0710678118654755 Cup
[R, R, M, H, H, M, R] 14/11/2000 - 12/12/2000 8.660254037844387 Cup
[R, W, R, H, C, H, R] 13/3/2001 - 9/4/2001 8.660254037844387 Cup
[M, M, M, H, H, H, M] 21/8/2002 - 18/9/2002 8.660254037844387 BearFlag
[R, R, M, R, R, H, C] 19/9/2002 - 16/10/2002 8.660254037844387 DoubleBottom
[R, M, H, H, M, H, H] 14/1/2003 - 11/2/2003 5.0 BearFlag
[M, M, H, H, M, H, H] 5/8/2003 - 2/9/2003 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 22/4/2004 - 19/5/2004 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 15/9/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 13/10/2004 - 9/11/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/1/2006 - 16/2/2006 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[R, M, M, C, C, H, M] 26/2/2009 - 25/3/2009 7.0710678118654755 Cup
[R, M, H, H, M, M, M] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/8/2009 - 15/9/2009 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 25/7/2012 - 21/8/2012 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/6/2013 - 10/7/2013 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
