Tamanho da Janela:40
[R, W, R, C, C, C, R] 3/1/2000 - 29/2/2000 8.660254037844387 Cup
[R, R, H, C, C, C, R] 13/12/2000 - 9/2/2001 7.0710678118654755 Cup
[R, H, H, H, M, H, H] 31/1/2002 - 28/3/2002 7.0710678118654755 BearFlag
[R, H, C, H, M, H, H] 1/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[R, R, R, C, C, C, M] 19/9/2002 - 13/11/2002 8.660254037844387 Cup
[R, R, M, H, H, H, M] 25/2/2004 - 21/4/2004 8.660254037844387 Cup
[R, R, H, H, M, H, H] 22/4/2004 - 18/6/2004 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 29/7/2005 - 23/9/2005 8.660254037844387 Cup
[R, R, M, H, H, H, M] 16/5/2006 - 12/7/2006 8.660254037844387 Cup
[M, H, H, H, M, H, H] 21/7/2009 - 15/9/2009 8.660254037844387 BearFlag
[R, M, H, H, H, H, H] 26/10/2010 - 21/12/2010 0.0 BearFlag
[R, M, H, H, M, M, H] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/2/2012 - 29/3/2012 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 24/7/2012 8.660254037844387 Cup
[M, H, H, H, M, H, H] 25/7/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 19/11/2012 - 16/1/2013 8.660254037844387 BearFlag
