Tamanho da Janela:40
[R, R, M, H, H, M, R] 12/2/2001 - 9/4/2001 8.660254037844387 Cup
[R, R, M, R, R, M, H] 3/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[R, R, H, M, M, H, C] 5/10/2001 - 30/11/2001 7.0710678118654755 DoubleBottom
[R, M, M, H, H, H, R] 13/10/2004 - 8/12/2004 8.660254037844387 Cup
[R, R, M, H, H, H, M] 21/11/2005 - 19/1/2006 8.660254037844387 Cup
[R, M, M, H, H, H, M] 16/5/2006 - 12/7/2006 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 8/9/2006 - 2/11/2006 7.0710678118654755 BearFlag
[W, R, H, H, M, C, C] 10/6/2008 - 5/8/2008 8.660254037844387 DoubleBottom
[R, M, H, C, C, H, R] 28/11/2008 - 27/1/2009 7.0710678118654755 Cup
[R, R, H, M, R, M, H] 16/9/2009 - 10/11/2009 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 1/11/2013 - 30/12/2013 7.0710678118654755 BearFlag
