Tamanho da Janela:20
[R, R, H, C, H, H, R] 1/3/2000 - 28/3/2000 7.0710678118654755 Cup
[R, R, R, R, M, H, H] 24/7/2000 - 18/8/2000 7.0710678118654755 BullFlag
[M, M, M, H, H, H, M] 21/8/2000 - 18/9/2000 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 17/10/2000 - 13/11/2000 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 9/5/2001 - 6/6/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/12/2001 - 31/12/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 8/7/2003 - 4/8/2003 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
