Tamanho da Janela:20
[R, M, H, C, H, H, R] 1/3/2000 - 28/3/2000 8.660254037844387 Cup
[R, R, M, R, R, M, H] 3/8/2001 - 30/8/2001 8.660254037844387 BullFlag
[M, R, R, W, R, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[R, M, M, C, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 Cup
[R, M, H, M, R, H, H] 28/5/2002 - 24/6/2002 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 26/12/2003 - 26/1/2004 8.660254037844387 Cup
[M, M, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 20/1/2006 - 16/2/2006 8.660254037844387 BullFlag
[R, H, H, H, M, H, H] 3/11/2006 - 1/12/2006 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[R, R, M, R, R, M, H] 16/9/2009 - 13/10/2009 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, M, H, H, H, H, M] 11/1/2010 - 8/2/2010 5.0 BearFlag
[R, M, H, M, M, H, H] 30/3/2012 - 27/4/2012 7.0710678118654755 BearFlag
[R, R, H, M, R, M, H] 29/5/2012 - 25/6/2012 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 Cup
[M, M, M, M, H, H, H] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
[R, R, R, R, M, H, H] 23/7/2014 - 19/8/2014 7.0710678118654755 BullFlag
