Tamanho da Janela:20
[M, R, R, H, C, H, R] 12/2/2001 - 12/3/2001 8.660254037844387 Cup
[M, R, R, R, M, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 2/11/2001 - 30/11/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 8/7/2003 - 4/8/2003 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 7/2/2005 - 7/3/2005 7.0710678118654755 BearFlag
[M, M, H, H, H, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[W, R, H, M, R, M, H] 2/10/2008 - 29/10/2008 7.0710678118654755 DoubleBottom
[R, H, C, H, M, H, H] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 2/8/2010 - 27/8/2010 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 Cup
[R, M, H, H, M, M, M] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 22/8/2012 - 19/9/2012 7.0710678118654755 BearFlag
[M, M, H, H, M, H, H] 2/12/2013 - 30/12/2013 7.0710678118654755 BearFlag
