Tamanho da Janela:20
[R, R, M, C, H, M, R] 24/7/2000 - 18/8/2000 7.0710678118654755 Cup
[R, M, H, H, M, M, M] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 7/6/2001 - 5/7/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 Cup
[R, M, M, C, H, H, M] 1/3/2002 - 28/3/2002 8.660254037844387 Cup
[M, M, H, H, H, H, M] 10/4/2003 - 8/5/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 10/11/2004 - 8/12/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/3/2008 - 11/4/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/6/2008 - 8/7/2008 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[M, M, M, H, H, H, M] 28/1/2009 - 25/2/2009 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 14/10/2009 - 10/11/2009 7.0710678118654755 BearFlag
