Tamanho da Janela:40
[R, M, H, M, R, C, C] 5/10/2001 - 30/11/2001 8.660254037844387 DoubleBottom
[R, R, M, C, H, H, M] 31/1/2002 - 28/3/2002 7.0710678118654755 Cup
[M, H, H, H, H, H, M] 13/3/2003 - 8/5/2003 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 17/8/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/12/2004 - 4/2/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/11/2005 - 19/1/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/1/2006 - 17/3/2006 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 4/1/2007 - 2/3/2007 8.660254037844387 Cup
[M, H, H, H, M, H, H] 23/8/2007 - 18/10/2007 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 30/8/2010 - 25/10/2010 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/4/2014 - 23/6/2014 8.660254037844387 BearFlag
