Tamanho da Janela:20
[M, R, R, R, M, H, H] 14/11/2000 - 12/12/2000 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 6/7/2001 - 2/8/2001 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 26/11/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 10/8/2006 - 7/9/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 30/3/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[R, M, H, H, M, H, H] 16/1/2008 - 13/2/2008 5.0 BearFlag
[R, M, H, H, M, M, H] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[R, R, M, C, C, C, M] 26/2/2009 - 25/3/2009 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 21/7/2009 - 17/8/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/12/2010 - 20/1/2011 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 5/12/2011 - 3/1/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 15/2/2013 - 15/3/2013 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 16/4/2013 - 13/5/2013 7.0710678118654755 BearFlag
