Tamanho da Janela:20
[W, R, H, R, R, M, H] 31/8/2001 - 4/10/2001 8.660254037844387 DoubleBottom
[R, M, H, M, R, H, H] 2/11/2001 - 30/11/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 1/4/2002 - 26/4/2002 8.660254037844387 Cup
[M, H, H, H, M, H, H] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 8/7/2003 - 4/8/2003 8.660254037844387 Cup
[R, M, H, M, M, H, H] 26/11/2003 - 24/12/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 10/11/2004 - 8/12/2004 8.660254037844387 BearFlag
[R, M, M, M, M, H, H] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 18/4/2011 - 16/5/2011 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 4/11/2011 - 2/12/2011 8.660254037844387 BullFlag
[M, R, R, R, R, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[R, M, H, M, M, H, H] 20/9/2012 - 17/10/2012 7.0710678118654755 BearFlag
