Tamanho da Janela:40
[R, M, H, H, M, H, H] 8/7/2003 - 2/9/2003 5.0 BearFlag
[M, R, R, R, R, H, H] 29/10/2003 - 24/12/2003 7.0710678118654755 BullFlag
[R, M, H, H, H, M, M] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 21/11/2005 - 19/1/2006 8.660254037844387 Cup
[R, R, M, H, H, M, R] 4/1/2007 - 2/3/2007 8.660254037844387 Cup
[R, R, M, H, H, H, M] 11/11/2009 - 8/1/2010 8.660254037844387 Cup
[R, M, M, C, H, C, H] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 18/4/2011 - 14/6/2011 8.660254037844387 BearFlag
[R, R, M, C, C, C, M] 18/3/2013 - 13/5/2013 7.0710678118654755 Cup
[M, M, H, H, M, H, M] 11/7/2013 - 5/9/2013 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 6/9/2013 - 31/10/2013 8.660254037844387 BullFlag
[R, H, H, C, H, H, H] 31/12/2013 - 27/2/2014 7.0710678118654755 BearFlag
