Tamanho da Janela:60
[R, M, H, C, H, H, R] 13/12/2000 - 12/3/2001 8.660254037844387 Cup
[M, H, H, H, M, H, H] 13/3/2001 - 6/6/2001 8.660254037844387 BearFlag
[W, R, H, H, R, M, H] 31/8/2001 - 30/11/2001 8.660254037844387 DoubleBottom
[M, R, R, H, C, H, R] 21/8/2002 - 13/11/2002 8.660254037844387 Cup
[M, M, H, H, H, M, M] 20/7/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 8/9/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 5/3/2007 - 29/5/2007 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 14/10/2009 - 8/1/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 15/6/2011 - 8/9/2011 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 22/8/2012 - 16/11/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 15/2/2013 - 13/5/2013 7.0710678118654755 BearFlag
