Tamanho da Janela:20
[R, M, H, M, M, M, H] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/11/2001 - 30/11/2001 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/3/2002 - 28/3/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 8/7/2003 - 4/8/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/11/2004 - 8/12/2004 8.660254037844387 BearFlag
[R, R, M, R, R, H, C] 6/4/2005 - 3/5/2005 8.660254037844387 DoubleBottom
[R, M, M, H, H, H, M] 16/1/2008 - 13/2/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 14/3/2008 - 11/4/2008 8.660254037844387 Cup
[M, R, R, W, R, M, C] 30/10/2008 - 26/11/2008 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 28/9/2010 - 25/10/2010 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 18/2/2011 - 18/3/2011 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 30/4/2012 - 25/5/2012 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 11/7/2013 - 7/8/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
