Tamanho da Janela:40
[M, H, H, H, M, H, H] 17/10/2000 - 12/12/2000 8.660254037844387 BearFlag
[R, M, M, C, H, C, H] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 25/2/2004 - 21/4/2004 7.0710678118654755 BearFlag
[M, M, H, H, H, H, M] 13/10/2004 - 8/12/2004 7.0710678118654755 BearFlag
[R, M, C, H, M, M, H] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 29/7/2005 - 23/9/2005 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 20/3/2006 - 15/5/2006 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 26/10/2010 - 21/12/2010 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 18/2/2011 - 15/4/2011 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 31/12/2013 - 27/2/2014 8.660254037844387 BullFlag
