Tamanho da Janela:40
[R, M, H, C, C, H, R] 17/2/2004 - 13/4/2004 7.0710678118654755 Cup
[R, R, M, H, H, H, M] 14/4/2004 - 9/6/2004 8.660254037844387 Cup
[M, H, H, H, M, H, H] 11/11/2005 - 10/1/2006 8.660254037844387 BearFlag
[R, R, H, C, H, H, M] 5/7/2006 - 29/8/2006 8.660254037844387 Cup
[R, M, H, H, M, M, M] 23/2/2007 - 20/4/2007 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 29/7/2008 - 23/9/2008 7.0710678118654755 Cup
[R, H, H, H, H, M, M] 24/6/2010 - 19/8/2010 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 10/2/2011 - 7/4/2011 8.660254037844387 BullFlag
[R, R, M, H, H, H, R] 3/8/2011 - 28/9/2011 7.0710678118654755 Cup
[R, M, H, M, M, M, H] 24/10/2013 - 19/12/2013 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 8/10/2014 - 3/12/2014 7.0710678118654755 BearFlag
