Tamanho da Janela:40
[M, M, M, H, H, H, M] 1/3/2000 - 26/4/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 17/10/2000 - 12/12/2000 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 19/9/2002 - 13/11/2002 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 6/4/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[M, M, H, H, M, M, H] 16/5/2006 - 12/7/2006 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 16/9/2009 - 10/11/2009 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 29/5/2012 - 24/7/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 31/12/2013 - 27/2/2014 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 20/8/2014 - 15/10/2014 8.660254037844387 BullFlag
