Tamanho da Janela:20
[R, M, H, H, M, M, H] 12/1/2001 - 9/2/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 3/12/2001 - 31/12/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 1/4/2002 - 26/4/2002 8.660254037844387 Cup
[M, M, M, H, H, H, M] 10/4/2003 - 8/5/2003 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 29/10/2003 - 25/11/2003 8.660254037844387 Cup
[R, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/6/2005 - 29/6/2005 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 4/1/2007 - 1/2/2007 8.660254037844387 Cup
[M, M, H, H, H, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/7/2008 - 5/8/2008 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[R, M, H, M, M, H, H] 14/10/2009 - 10/11/2009 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[M, M, M, H, C, H, R] 7/10/2011 - 3/11/2011 8.660254037844387 Cup
[R, M, H, M, M, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 25/7/2012 - 21/8/2012 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/7/2014 - 19/8/2014 8.660254037844387 BearFlag
