Tamanho da Janela:20
[R, H, H, H, M, H, H] 10/11/2000 - 8/12/2000 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 6/4/2001 - 4/5/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 1/8/2001 - 28/8/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 29/11/2001 - 27/12/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/12/2003 - 22/1/2004 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 28/6/2005 - 26/7/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 25/11/2008 - 23/12/2008 8.660254037844387 BearFlag
[R, R, H, H, H, H, M] 24/2/2009 - 23/3/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, H] 12/10/2009 - 6/11/2009 7.0710678118654755 BearFlag
[M, M, H, H, M, H, H] 5/2/2010 - 5/3/2010 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/6/2011 - 11/7/2011 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 9/8/2011 - 6/9/2011 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 1/12/2011 - 29/12/2011 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 29/2/2012 - 27/3/2012 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 24/5/2012 - 21/6/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/11/2012 - 13/12/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/3/2014 - 23/4/2014 8.660254037844387 BearFlag
[M, M, H, H, H, H, H] 14/10/2014 - 10/11/2014 5.0 BearFlag
