Tamanho da Janela:20
[R, M, M, C, H, H, M] 14/10/2005 - 10/11/2005 8.660254037844387 Cup
[M, H, H, H, H, H, M] 11/11/2005 - 9/12/2005 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 12/12/2005 - 10/1/2006 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 10/3/2006 - 6/4/2006 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 13/9/2007 - 10/10/2007 8.660254037844387 BearFlag
[R, M, H, H, M, H, H] 8/11/2007 - 6/12/2007 5.0 BearFlag
[M, H, H, H, M, H, H] 6/3/2008 - 3/4/2008 8.660254037844387 BearFlag
[R, R, M, R, R, M, C] 18/2/2009 - 17/3/2009 7.0710678118654755 BullFlag
[M, M, H, H, H, M, M] 23/7/2010 - 19/8/2010 8.660254037844387 BearFlag
[M, H, H, H, H, H, H] 20/8/2010 - 17/9/2010 7.0710678118654755 BearFlag
[R, R, M, R, R, M, H] 10/2/2011 - 10/3/2011 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 8/4/2011 - 6/5/2011 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 29/9/2011 - 26/10/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/12/2011 - 24/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/11/2013 - 19/12/2013 8.660254037844387 BearFlag
[R, M, M, H, H, C, H] 22/1/2014 - 19/2/2014 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 15/7/2014 - 11/8/2014 8.660254037844387 BearFlag
[R, R, H, H, M, M, H] 8/10/2014 - 4/11/2014 8.660254037844387 BearFlag
