Tamanho da Janela:20
[R, R, M, H, H, H, M] 13/3/2001 - 9/4/2001 8.660254037844387 Cup
[M, H, H, H, M, H, H] 1/3/2002 - 28/3/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 29/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 10/4/2003 - 8/5/2003 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 8/7/2003 - 4/8/2003 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 Cup
[M, M, H, C, H, H, M] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/9/2007 - 18/10/2007 8.660254037844387 BearFlag
[R, R, M, H, C, H, R] 16/11/2007 - 14/12/2007 5.0 Cup
[R, M, H, C, H, H, M] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 10/12/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 16/4/2013 - 13/5/2013 7.0710678118654755 BearFlag
[M, M, H, H, H, M, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 28/2/2014 - 27/3/2014 8.660254037844387 BullFlag
