Tamanho da Janela:20
[R, M, H, C, H, H, M] 1/3/2000 - 28/3/2000 7.0710678118654755 BearFlag
[R, R, M, H, H, H, R] 13/12/2000 - 11/1/2001 7.0710678118654755 Cup
[R, R, R, R, M, H, H] 31/8/2001 - 4/10/2001 7.0710678118654755 BullFlag
[M, M, H, M, M, H, H] 5/10/2001 - 1/11/2001 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 29/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 28/5/2002 - 24/6/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/12/2002 - 13/1/2003 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 27/1/2004 - 24/2/2004 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 6/9/2013 - 3/10/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
