Tamanho da Janela:20
[R, R, M, H, H, C, H] 29/3/2001 - 26/4/2001 8.660254037844387 BearFlag
[R, M, M, C, H, H, M] 27/4/2001 - 24/5/2001 8.660254037844387 Cup
[R, R, M, H, H, H, M] 14/1/2004 - 11/2/2004 8.660254037844387 Cup
[R, M, H, H, M, M, M] 8/7/2004 - 4/8/2004 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 29/10/2004 - 26/11/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/4/2006 - 3/5/2006 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 2/6/2006 - 29/6/2006 8.660254037844387 BearFlag
[R, M, H, H, M, H, M] 15/6/2007 - 13/7/2007 7.0710678118654755 BearFlag
[R, M, H, H, M, H, H] 13/8/2007 - 10/9/2007 5.0 BearFlag
[M, H, H, H, M, H, H] 11/9/2007 - 8/10/2007 8.660254037844387 BearFlag
[R, R, H, M, M, H, H] 6/11/2007 - 4/12/2007 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 2/4/2008 - 29/4/2008 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 16/12/2008 - 14/1/2009 8.660254037844387 Cup
[W, W, H, M, M, C, C] 13/2/2009 - 13/3/2009 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 26/3/2010 - 23/4/2010 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 18/8/2010 - 15/9/2010 8.660254037844387 Cup
[R, R, M, H, H, H, M] 14/10/2010 - 10/11/2010 8.660254037844387 Cup
[M, M, H, H, M, H, H] 11/11/2010 - 9/12/2010 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 9/3/2011 - 5/4/2011 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 13/7/2012 - 9/8/2012 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 26/8/2013 - 23/9/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 6/10/2014 - 31/10/2014 8.660254037844387 Cup
