Tamanho da Janela:20
[R, R, M, R, R, M, H] 6/7/2001 - 2/8/2001 8.660254037844387 BullFlag
[R, H, H, C, H, H, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 27/1/2004 - 24/2/2004 8.660254037844387 Cup
[M, M, M, H, H, H, M] 30/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 24/10/2005 - 18/11/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/5/2008 - 9/6/2008 8.660254037844387 BearFlag
[R, R, M, C, C, C, R] 28/11/2008 - 26/12/2008 5.0 Cup
[R, M, C, C, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 26/10/2010 - 22/11/2010 8.660254037844387 Cup
[M, M, M, H, H, H, M] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, R, R, W, R, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 4/10/2013 - 31/10/2013 7.0710678118654755 BearFlag
[M, M, M, H, M, H, H] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
