Tamanho da Janela:40
[R, H, C, C, H, H, H] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 1/4/2002 - 24/5/2002 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 22/4/2004 - 18/6/2004 8.660254037844387 Cup
[R, R, M, H, H, H, M] 7/2/2005 - 5/4/2005 8.660254037844387 Cup
[M, M, H, H, M, H, H] 2/6/2005 - 28/7/2005 7.0710678118654755 BearFlag
[R, M, H, H, H, H, M] 26/9/2005 - 18/11/2005 5.0 BearFlag
[M, M, H, M, M, H, H] 21/11/2005 - 19/1/2006 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 16/5/2006 - 12/7/2006 8.660254037844387 Cup
[R, M, M, H, H, H, R] 8/9/2006 - 2/11/2006 8.660254037844387 Cup
[M, R, R, R, M, H, H] 11/11/2009 - 8/1/2010 8.660254037844387 BullFlag
[R, R, H, M, M, H, H] 11/1/2010 - 9/3/2010 8.660254037844387 DoubleBottom
[R, R, H, H, M, H, H] 26/10/2010 - 21/12/2010 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[R, R, M, H, H, H, R] 18/2/2011 - 15/4/2011 7.0710678118654755 Cup
[R, R, M, H, H, H, H] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 18/3/2013 - 13/5/2013 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 28/2/2014 - 25/4/2014 8.660254037844387 Cup
