Tamanho da Janela:20
[M, M, M, H, H, H, M] 29/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[R, M, H, M, R, H, C] 24/7/2002 - 20/8/2002 7.0710678118654755 DoubleBottom
[M, H, H, H, M, H, H] 5/8/2003 - 2/9/2003 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/4/2006 - 15/5/2006 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 11/1/2010 - 8/2/2010 8.660254037844387 Cup
[M, H, H, H, M, H, H] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/6/2013 - 10/7/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 23/7/2014 - 19/8/2014 7.0710678118654755 BearFlag
