Tamanho da Janela:20
[M, R, R, R, M, H, H] 17/9/2001 - 12/10/2001 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 10/1/2002 - 7/2/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 4/2/2004 - 3/3/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/1/2005 - 14/2/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 11/7/2005 - 5/8/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 28/3/2006 - 25/4/2006 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 25/1/2008 - 22/2/2008 7.0710678118654755 BearFlag
[M, M, M, H, H, C, H] 25/3/2008 - 21/4/2008 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 22/4/2008 - 19/5/2008 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 20/5/2008 - 17/6/2008 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 4/5/2009 - 1/6/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 18/3/2010 - 15/4/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/8/2010 - 7/9/2010 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 31/12/2010 - 28/1/2011 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 31/1/2011 - 28/2/2011 8.660254037844387 BullFlag
[R, R, M, R, R, M, H] 21/11/2014 - 19/12/2014 8.660254037844387 BullFlag
